"","value"
"1","Argentina"
"2","Australia"
"3","Brazil"
"4","Canada"
"5","China PR"
"6","Colombia"
"7","Costa Rica"
"8","Denmark"
"9","England"
"10","France"
"11","Germany"
"12","Haiti"
"13","Italy"
"14","Jamaica"
"15","Japan"
"16","Korea Republic"
"17","Morocco"
"18","Netherlands"
"19","New Zealand"
"20","Nigeria"
"21","Norway"
"22","Panama"
"23","Philippines"
"24","Portugal"
"25","Republic of Ireland"
"26","South Africa"
"27","Spain"
"28","Sweden"
"29","Switzerland"
"30","United States"
"31","Vietnam"
"32","Zambia"
